zip_best,State,complaint_count,zip,pop,pop_white,pop_black_or_aa,pop_ai_or_an,pop_asian,pop_nh_or_opi,pop_other,pop_multiple,pop_hol,pop_not_hol,income_mean_household_dollars,Cluster
10457,NY,519,10457,79817.0,5714.0,27323.0,1235.0,973.0,122.0,32030.0,10091.0,50615.0,26873.0,48599.0,2
10458,NY,606,10458,82678.0,11576.0,18457.0,1721.0,2849.0,103.0,34967.0,11626.0,53671.0,27628.0,49919.0,2
10459,NY,615,10459,51964.0,3896.0,17572.0,1018.0,443.0,45.0,20338.0,7672.0,33826.0,17158.0,47731.0,2
10460,NY,557,10460,59852.0,5624.0,21027.0,1011.0,1288.0,86.0,24812.0,8777.0,40654.0,21971.0,49926.0,2
10461,NY,451,10461,50868.0,20206.0,5694.0,604.0,7784.0,62.0,14009.0,6542.0,24133.0,30768.0,79026.0,0
10462,CT,3,10462,77230.0,14645.0,20888.0,1216.0,15706.0,67.0,21097.0,11036.0,36865.0,47790.0,70330.0,2
10462,NY,818,10462,77230.0,14645.0,20888.0,1216.0,15706.0,67.0,21097.0,11036.0,36865.0,47790.0,70330.0,2
10463,NY,550,10463,70296.0,24432.0,10183.0,716.0,3130.0,64.0,21772.0,11004.0,37435.0,33866.0,87212.0,0
10464,NY,17,10464,4292.0,3028.0,289.0,24.0,211.0,3.0,502.0,535.0,1194.0,3398.0,121430.0,1
10465,NY,425,10465,46311.0,20782.0,5450.0,300.0,1996.0,35.0,11371.0,5865.0,20807.0,24992.0,94444.0,0
10466,NY,941,10466,72273.0,3320.0,47270.0,482.0,1541.0,58.0,11270.0,6479.0,19023.0,51397.0,77651.0,2
10467,NY,1180,10467,98713.0,12878.0,35831.0,1653.0,8209.0,95.0,32259.0,12735.0,52124.0,51536.0,55988.0,2
10468,CT,1,10468,81397.0,7414.0,16887.0,1416.0,2961.0,81.0,37534.0,11945.0,57121.0,21117.0,50877.0,1
10468,NY,595,10468,81397.0,7414.0,16887.0,1416.0,2961.0,81.0,37534.0,11945.0,57121.0,21117.0,50877.0,2
10469,NY,769,10469,71862.0,8844.0,39346.0,435.0,4363.0,70.0,11387.0,7126.0,20398.0,51173.0,85371.0,2
10470,NY,168,10470,15390.0,6304.0,5777.0,125.0,536.0,15.0,2292.0,1637.0,3911.0,12775.0,84976.0,1
10471,NY,163,10471,22888.0,13978.0,2899.0,114.0,1743.0,16.0,3459.0,2912.0,6731.0,18390.0,137185.0,3
10472,NY,476,10472,65283.0,5829.0,17314.0,1876.0,8198.0,85.0,29913.0,9030.0,44691.0,27554.0,53992.0,2
10472,None,1,10472,65283.0,5829.0,17314.0,1876.0,8198.0,85.0,29913.0,9030.0,44691.0,27554.0,53992.0,1
10473,NY,873,10473,60087.0,5772.0,24136.0,710.0,1907.0,78.0,21533.0,8556.0,36721.0,25971.0,66325.0,2
10474,NY,54,10474,11280.0,1030.0,3967.0,212.0,100.0,30.0,5156.0,1518.0,8344.0,3669.0,43048.0,1
10475,NY,451,10475,43517.0,3919.0,27822.0,277.0,581.0,43.0,5496.0,4471.0,12081.0,30528.0,63862.0,2
10501,NY,663,10501,1416.0,1272.0,10.0,0.0,74.0,0.0,38.0,92.0,110.0,1376.0,224137.0,3
10502,NY,11,10502,5745.0,4099.0,285.0,12.0,1073.0,5.0,172.0,615.0,658.0,5603.0,238206.0,3
10503,NY,1,10503,94.0,107.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,121.0,176757.0,3
10504,NY,8,10504,8047.0,6972.0,64.0,5.0,564.0,2.0,123.0,528.0,456.0,7802.0,327734.0,3
10505,NY,6,10505,1132.0,1148.0,50.0,1.0,78.0,0.0,54.0,100.0,170.0,1261.0,211354.0,3
10506,NY,15,10506,6340.0,4974.0,62.0,5.0,211.0,0.0,123.0,387.0,445.0,5317.0,326962.0,3
10507,NY,6,10507,6403.0,3888.0,631.0,51.0,244.0,1.0,994.0,712.0,1959.0,4562.0,161886.0,3
10509,NY,50,10509,19832.0,13875.0,574.0,131.0,525.0,9.0,2052.0,2335.0,4731.0,14770.0,130893.0,3
10510,NY,12,10510,10435.0,7709.0,245.0,18.0,1048.0,2.0,211.0,777.0,762.0,9248.0,271732.0,3
10511,NY,2,10511,2281.0,1629.0,84.0,16.0,71.0,0.0,264.0,305.0,547.0,1822.0,142140.0,3
10512,NY,95,10512,24256.0,18871.0,777.0,117.0,560.0,3.0,1913.0,2423.0,4756.0,19908.0,120572.0,0
